,X,Y,Type,Estimate
666,Q7__name_of_village_keur_saib_ndoi__binary_nominal__9,Q63___CROP_Fruit_2_CROP_Vegetables_3__binary_nominal__1,LIN,-0.17364330958881746
667,Q66__Seedlings_Selfprepared__binary_nominal__3,Q73__Machinery_sprayer_Machinery_daba__binary_nominal__17,LIN,-0.17289730898608666
668,Q7__name_of_village_beer__binary_nominal__1,Q0__Hope_total__continuous,LIN,0.17278876249174638
669,Q81__Sow_weather_self__binary_nominal__2,Q88__Own_business_income_source__binary_nominal__2,LIN,0.1725890219868213
670,Q88__Own_business_income_source_Formal_employment_income_source__binary_nominal__3,Q64__Seed_source_Selfprepared_Bought_shop__binary_nominal__2,LIN,-0.17195748483840498
671,Q73__Machinery_sprayer_Machinery_daba__binary_nominal__17,Q64__Seed_source_Selfprepared_Bought_shop__binary_nominal__2,LIN,-0.17061525676264322
672,Q73__Machinery_pump_Machinery_draft_animals_Machinery_sprayer_Machinery_daba_Machinery_hoe_sine__binary_nominal__12,Q89__Other_education__binary_nominal__1,LIN,0.17052085438931447
673,Q82__irrigation_surface__binary_nominal__3,Q4__HasPhoneNumber__binary__1,LIN,0.17033952789568257
674,Q80__Plow_weather_self_reason_other__binary_nominal__3,Q88__Own_business_income_source__binary_nominal__2,LIN,-0.1688341581800893
675,Q80__Plow_weather_self_reason_other__binary_nominal__3,Q5__Age__continuous,LIN,0.16813399749414454
676,Q66__Seedlings_Bought_neighbor__binary_nominal__1,Q7__name_of_village_notto__binary_nominal__15,LIN,0.1680394915108051
677,Q76__Received_agri_info_last_12m__binary__1,Q7__name_of_village_darou_sarr__binary_nominal__3,LIN,0.1672008256078415
678,Q67__Fertilizer_Manure__binary_nominal__2,Q74__Practice_manuring_Practice_crop_rotation__binary_nominal__3,LIN,0.16713834493440133
679,Q89__Primary_education__binary_nominal__2,Q1__Altitude__continuous,LIN,0.16610209204719686
680,Q73__Machinery_pump_Machinery_draft_animals_Machinery_sprayer_Machinery_daba_Machinery_hoe_sine__binary_nominal__12,Q0__Has_Education_Yes_No__binary__1,LIN,0.16566973334247811
681,Q81__Sow_weather_self_Sow_reason_other__binary_nominal__3,Q88__Own_business_income_source__binary_nominal__2,LIN,-0.16551034083236899
682,Q74__Practice_crop_rotation__binary_nominal__1,Q4__HasPhoneNumber__binary__1,LIN,-0.16545999354423482
683,Q72__Sold_VEG_Local_trader_Sold_VEG_Other__binary_nominal__2,Q63___CROP_Fruit_2_CROP_Vegetables_3__binary_nominal__1,LIN,-0.16454904693816677
684,Q66__Seedlings_Selfprepared__binary_nominal__3,Q4__HasPhoneNumber__binary__1,LIN,-0.16047424962587095
685,Q74__Practice_crop_rotation__binary_nominal__1,Q0__Has_Education_Yes_No__binary__1,LIN,0.1599277674043845
686,Q6__Arrondissement_6__binary_nominal__3,Q85__Group_1__binary_nominal__1,LIN,-0.15966350893734949
687,Q7__name_of_village_keur_abdou_ndoye__binary_nominal__7,Q88__Own_business_income_source__binary_nominal__2,LIN,0.15931308867996147
688,Q72__Sold_VEG_Local_trader_Sold_VEG_Other__binary_nominal__2,Q63__CROP_Vegetables_3__binary_nominal__2,LIN,0.15827363363776945
689,Q7__name_of_village_keur_abdou_ndoye__binary_nominal__7,Q85__Group_1__binary_nominal__1,LIN,-0.156454169387808
690,Q6__Arrondissement_6__binary_nominal__3,Q72__Sold_VEG_Trade_Sold_VEG_Local_trader__binary_nominal__4,LIN,0.15642786143394438
691,Q6__Arrondissement_3__binary_nominal__1,Q85__Group_1__binary_nominal__1,LIN,-0.1558634637624428
692,Q7__name_of_village_keur_saib_ndoi__binary_nominal__9,Q85__Group_1__binary_nominal__1,LIN,-0.1558634637624428
693,Q6__Arrondissement_6__binary_nominal__3,Q89__Primary_education__binary_nominal__2,LIN,0.15453173288078967
694,Q89__Primary_education__binary_nominal__2,Q4__HasPhoneNumber__binary__1,LIN,-0.1531871535314104
695,Q67__Fertilizer_Chemical__binary_nominal__1,Q74__Practice_manuring_Practice_crop_rotation__binary_nominal__3,LIN,-0.15291652278825585
696,Q81__Sow_weather_self__binary_nominal__2,Q5__Age__continuous,LIN,-0.15123513181066084
697,Q73__Machinery_pump_Machinery_draft_animals_Machinery_sprayer_Machinery_daba__binary_nominal__11,Q73__Machinery_tractor_Machinery_pump_Machinery_sprayer_Machinery_daba__binary_nominal__24,LIN,-0.15028867519346498
698,Q0__Has_Education_Yes_No__binary__1,Q6__Arrondissement_4__binary_nominal__2,LIN,-0.1496476889396354
699,Q73__Machinery_pump_Machinery_draft_animals_Machinery_sprayer_Machinery_daba_Machinery_hoe_sine__binary_nominal__12,Q73__Machinery_tractor_Machinery_pump_Machinery_sprayer_Machinery_daba__binary_nominal__24,LIN,-0.14943851235109226
700,Q73__Machinery_draft_animals_Machinery_sprayer_Machinery_daba_Machinery_hoe_sine__binary_nominal__5,Q73__Machinery_tractor_Machinery_pump_Machinery_sprayer_Machinery_daba__binary_nominal__24,LIN,-0.1475746175597965
701,Q7__name_of_village_darou_sarr__binary_nominal__3,Q72__Sold_VEG_Trade_Sold_VEG_Local_trader__binary_nominal__4,LIN,0.1475608955427493
702,Q73__Machinery_tractor_Machinery_pump_Machinery_sprayer_Machinery_daba_Machinery_hoe_sine__binary_nominal__25,Q73__Machinery_tractor_Machinery_pump_Machinery_sprayer_Machinery_daba__binary_nominal__24,LIN,-0.14664191736497847
703,Q84__Years_using_drip_irrigation__continuous,Q87__Household_size__continuous,LIN,0.14613820698686808
704,Q67__Fertilizer_Chemical__binary_nominal__1,Q0__AGR_PROD__continuous,LIN,0.14530452894741527
705,Q66__Seedlings_Bought_neighbor__binary_nominal__1,Q74__Practice_crop_rotation__binary_nominal__1,LIN,0.14529793511630232
